episodes,raw_rewards,shaped_rewards,rolling_avg,ep_lengths,td_losses,mean_qs,epsilons,variant
0,-196.7593694338939,-201.58936943389386,-196.7593694338939,114,2.2389745970992445,0.19677934569757657,0.992,vanilla_dqn
1,-106.94982230145145,-110.20982230145144,-151.85459586767269,76,72.1896779548148,-0.2207119821314841,0.9840639999999999,vanilla_dqn
2,-434.9413996714184,-438.73139967141844,-246.2168638022546,92,85.1582307136491,-0.8848466553008372,0.9761914879999999,vanilla_dqn
3,-129.80719047808498,-133.377190478085,-217.1144454712122,87,79.38877321236156,-2.5879536180755642,0.9683819560959999,vanilla_dqn
4,-91.0207626427175,-93.51076264271748,-191.89570890551326,60,98.70998508678943,-3.725024509838853,0.9606349004472319,vanilla_dqn
5,-117.14877266755252,-121.77877266755249,-179.43788619918647,110,88.95524611174403,-1.6235659399532647,0.952949821243654,vanilla_dqn
6,-80.27184942887662,-84.78184942887658,-165.27130951771363,101,83.77060718311286,-1.2946947117282086,0.9453262226737048,vanilla_dqn
7,-135.39934166725016,-140.0293416672501,-161.5373135364057,107,77.88040848414956,-1.1218609103635686,0.9377636128923151,vanilla_dqn
8,-85.54701847152243,-88.54701847152242,-153.09394741808535,72,94.30986716836557,-0.7794099814029235,0.9302615039891766,vanilla_dqn
9,-119.75454135725496,-124.08454135725478,-149.7600068120023,104,84.62651034494766,10.202096902402634,0.9228194119572632,vanilla_dqn
10,-45.33423086565975,-48.94423086565971,-140.2667544532439,80,83.63196923773421,7.187322592238057,0.9154368566616051,vanilla_dqn
11,-221.05052075023372,-225.23052075023367,-146.99873497799305,98,86.5140847819536,-2.0418141452866125,0.9081133618083123,vanilla_dqn
12,-124.82146267093493,-128.4014626709349,-145.2927909543732,86,99.17533925261198,12.421477902084401,0.9008484549138458,vanilla_dqn
13,-1.838884259217167,-5.978884259217068,-135.04608333329062,99,90.60556036864527,14.927849687223016,0.893641667274535,vanilla_dqn
14,-108.15487143532759,-111.08487143532759,-133.2533358734264,70,134.06929634000952,-2.7758960872161134,0.8864925339363386,vanilla_dqn
15,-301.71538714711204,-307.53538714711186,-143.78221407803176,135,107.67551027384108,10.722199028681638,0.8794005936648479,vanilla_dqn
16,-103.32397048025356,-107.03397048025356,-141.40231739580952,85,99.32186772984237,0.5372537446849245,0.8723653889155292,vanilla_dqn
17,-162.82471872755718,-167.81471872755714,-142.59245080312883,113,102.58777169123549,13.12779906512556,0.865386465804205,vanilla_dqn
18,-448.8069550383849,-453.20695503838493,-158.709003657616,109,105.92607395444134,-6.5398992028070895,0.8584633740777713,vanilla_dqn
19,-38.19475033185071,-42.59475033185055,-152.68329099132774,100,106.04364287203116,13.565381196051412,0.8515956670851491,vanilla_dqn
20,-58.948545313699334,-62.5285453136993,-148.21973167334542,86,113.16532431037412,10.324446987382192,0.8447829017484679,vanilla_dqn
21,-202.7050647416018,-205.98506474160172,-150.69633772190252,77,93.45612793751934,21.723287931863954,0.8380246385344802,vanilla_dqn
22,-65.14347608731728,-67.88347608731726,-146.9766480856162,65,116.34054576847232,4.121934344831062,0.8313204414262043,vanilla_dqn
23,-206.21664773650804,-211.47664773650803,-149.44498140440336,119,90.89237592478274,8.239447501673318,0.8246698778947946,vanilla_dqn
24,-329.30253127797954,-333.43253127797936,-156.63928339934643,94,109.46701593937613,30.170003848996178,0.8180725188716362,vanilla_dqn
25,-53.233032794768185,-59.29303279476815,-152.66211991455495,144,93.63632084144716,5.359691616491197,0.8115279387206631,vanilla_dqn
26,-202.1465259492225,-206.37652594922238,-154.4948756936167,96,110.63283932714978,-10.771639910393569,0.8050357152108978,vanilla_dqn
