variant,label,dueling,use_per,train_best_avg,train_final_avg,train_max_reward,solved,solve_episode,total_train_eps,eval_mean_reward,eval_max_reward,eval_std_reward,eval_win_rate
vanilla_dqn,Vanilla DQN,False,False,-133.2533358734264,-207.79368713130853,40.18448541257348,False,-1,400,-283.9254269951276,-66.65483696650043,127.3261496891348,0.0
dqn_per,DQN + PER,False,True,-172.9064036129978,-242.1206488483919,75.05531330949206,False,-1,400,-364.6531503360445,-173.0130692531174,86.51492502440001,0.0
dueling_dqn,Dueling DQN,True,False,-110.24374208696283,-254.51322998438678,34.188492020249555,False,-1,400,-173.75716426190473,23.158474126892557,84.21817640753994,0.0
d3qn,D3QN (Full),True,True,-169.689319312795,-192.1824481306721,241.97384180800856,False,-1,400,-189.3854668851945,32.22788036301844,145.87558304341016,0.0
